Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Aaron Johnson,84 WINS,67 LOSSES,15,5,52,7,0,3,0,28,1,25,6,0,2,0
Abdurakhman Bilarov,22 WINS,10 LOSSES,5,2,14,1,0,0,0,4,0,2,3,0,0,1
Abraham Marte,40 WINS,25 LOSSES,7,3,28,1,0,0,1,12,2,10,0,0,0,1
Adam Benayoun,40 WINS,20 LOSSES,19,5,14,2,0,0,0,6,3,4,7,0,0,0
Adam Ferrara,15 WINS,11 LOSSES,2,0,12,1,0,0,0,2,3,4,2,0,0,0
Adam Wardziński,193 WINS,45 LOSSES,84,5,95,4,1,0,2,15,13,11,6,0,0,0
Admilson Gobi Junior,37 WINS,15 LOSSES,15,4,15,1,0,0,0,9,0,5,1,0,0,0
Aniel Bonifacio,9 WINS,7 LOSSES,3,1,2,2,0,0,1,4,0,3,0,0,0,0
Alan Belcher,0 WINS,4 LOSSES,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Alan Nascimento “Finfou”,50 WINS,17 LOSSES,31,5,9,2,0,0,3,5,2,7,3,0,0,0
Alan Sanchez,21 WINS,10 LOSSES,1,0,14,1,0,5,0,5,1,2,1,0,1,0
Alef Brito,40 WINS,9 LOSSES,16,3,16,3,1,0,1,3,0,3,2,0,0,1
Alex Munis,28 WINS,11 LOSSES,11,2,13,2,0,0,0,5,1,1,4,0,0,0
Alexander Trans,70 WINS,20 LOSSES,34,7,26,2,0,0,0,11,4,2,3,0,0,0
Alexandre Cavaliere,47 WINS,39 LOSSES,18,8,15,6,0,0,0,16,5,13,3,2,0,0
Alexandre “Soca” Freitas,28 WINS,13 LOSSES,9,0,19,0,0,0,0,11,0,2,0,0,0,0
Alexandre de Jesus,42 WINS,16 LOSSES,18,3,16,3,0,0,2,4,2,7,3,0,0,0
Alexandre Molinaro,102 WINS,50 LOSSES,75,6,16,4,0,0,1,19,2,25,3,0,0,1
Alexandre Ribeiro,162 WINS,42 LOSSES,62,11,79,9,0,0,1,19,9,6,6,0,0,0
Alexandre Vieira,47 WINS,32 LOSSES,0,0,46,1,0,0,0,15,4,11,1,0,0,0
Alexis Alduncin,38 WINS,36 LOSSES,14,2,18,3,0,1,0,18,2,15,1,0,0,0
Alex Sodré,59 WINS,18 LOSSES,28,1,25,4,1,0,0,11,3,2,2,0,0,0
Ali Monfaradi,66 WINS,34 LOSSES,41,7,17,0,0,0,1,15,5,13,0,1,0,0
Amanda Leve,3 WINS,4 LOSSES,0,0,1,2,0,0,0,0,0,1,3,0,0,0
Amaury Bitetti,8 WINS,2 LOSSES,6,2,0,0,0,0,0,2,0,0,0,0,0,0
Anderson Munis,14 WINS,9 LOSSES,6,2,3,2,0,0,0,3,1,1,2,1,0,0
André Galvão,157 WINS,27 LOSSES,59,11,73,9,3,0,0,14,4,4,4,1,0,0
André Góis,23 WINS,12 LOSSES,9,0,13,1,0,0,0,4,1,5,1,0,0,1
André Porfirio,51 WINS,17 LOSSES,16,8,21,4,0,2,0,3,2,10,2,0,0,0
Andrew Wiltse,12 WINS,2 LOSSES,4,1,4,2,1,0,0,0,0,1,1,0,0,0
Andy Murasaki,5 WINS,2 LOSSES,0,1,2,2,0,0,0,1,0,0,1,0,0,0
Angelo Claiborne,8 WINS,3 LOSSES,2,2,3,1,0,0,0,1,0,2,0,0,0,0
Anna Rodrigues,42 WINS,3 LOSSES,17,7,9,6,0,0,3,1,0,0,2,0,0,0
Antonio Carlos Junior,18 WINS,8 LOSSES,8,1,8,0,0,1,0,5,0,3,0,0,0,0
Nino Schembri,19 WINS,7 LOSSES,6,1,12,0,0,0,0,2,1,2,0,1,0,0
Antonio Braga Neto,56 WINS,22 LOSSES,30,5,18,2,0,0,1,9,1,10,1,0,0,1
Arthur Detânico,16 WINS,10 LOSSES,3,0,13,0,0,0,0,5,2,2,0,0,0,1
Ary Farias,31 WINS,11 LOSSES,17,4,8,1,1,0,0,4,5,0,2,0,0,0
Arya Esfandmaz,22 WINS,16 LOSSES,11,0,11,0,0,0,0,12,0,3,1,0,0,0
Ashley Williams,36 WINS,12 LOSSES,12,1,15,7,1,0,0,6,1,1,1,0,3,0
Augusto Mendes “Tanquinho”,69 WINS,30 LOSSES,31,7,17,9,2,0,3,14,6,4,6,0,0,0
Austin Baker,26 WINS,12 LOSSES,6,3,16,0,0,0,0,10,1,0,0,0,0,0
Baret Yoshida,59 WINS,26 LOSSES,4,0,49,4,0,1,0,14,2,3,5,1,1,0
Bernardo Faria,95 WINS,26 LOSSES,45,1,49,0,0,0,0,13,3,10,0,0,0,0
Bibiano Fernandes,18 WINS,2 LOSSES,7,1,10,0,0,0,0,2,0,0,0,0,0,0
Bill “The Grill” Cooper,48 WINS,31 LOSSES,9,3,34,0,0,2,0,12,2,14,2,0,0,1
Brandon Walensky,27 WINS,23 LOSSES,4,0,23,0,0,0,0,14,0,8,0,0,1,0
Brenda Larissa,27 WINS,10 LOSSES,21,2,4,0,0,0,0,4,2,3,1,0,0,0
Bianca Basílio,90 WINS,35 LOSSES,27,5,51,5,0,0,2,14,4,9,4,0,1,0
BJ Penn,4 WINS,0 LOSSES,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Brandon Mullins “Wolverine”,8 WINS,9 LOSSES,5,0,3,0,0,0,0,4,0,5,0,0,0,0
Braulio Estima,59 WINS,21 LOSSES,17,4,37,0,0,0,0,10,3,5,2,1,0,0
Brian Giorgio,8 WINS,5 LOSSES,4,0,3,0,0,0,0,1,0,3,1,0,0,0
